ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
CAREGIVER SERVICES CONTRACTS,3K401,HMH CAREGIVER SERVICES MANHATTAN ONE (3K4),HAMILTON MADISON HOUSE INC,50 Madison Street,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,40.711958,-73.997825,103,01,25,1077420,1001110100,Chinatown,POINT (-73.997825 40.711958)
OLDER ADULT CENTER CONTRACTS,C8502,UJCES LUNCH CLUB OAC (C85),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,15 Willett Street,NEW YORK,NY,10002,MANHATTAN,212-673-9328,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.71566,-73.982977,103,01,12,1088884,1003360005,Lower East Side,POINT (-73.982977 40.71566)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5701,MORNINGSIDE MRHS NORC (N57),MRHS,100 LASALLE STREET,NEW YORK,NY,10027,MANHATTAN,212-666-4000,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.813512,-73.959058,109,07,211,1084114,1019780001,Morningside Heights,POINT (-73.959058 40.813512)
OLDER ADULT CENTER CONTRACTS,W2405,CORSI OAC (W24),UNION SETTLEMENT ASSOCIATION,307 E 116th Street,NEW YORK,NY,10029,MANHATTAN,212-828-6756,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.796935,-73.93759,111,08,188,1079357,1016880045,East Harlem North,POINT (-73.93759 40.796935)
HOMECARE SERVICES CONTRACTS,4H701,PEOPLE CARE INC (4H7),PEOPLE CARE INCORPORATED,116 WEST  32 STREET,NEW YORK,NY,10001,MANHATTAN,212-600-9424,Y,09:00,05:30,09:00,05:30,09:00,05:30,09:00,05:30,09:00,05:30,00:00,00:00,00:00,00:00,40.74882,-73.989472,105,03,101,1015181,1008070028,Midtown-Midtown South,POINT (-73.989472 40.74882)
OLDER ADULT CENTER CONTRACTS,C7801,STEIN OLDER ADULT CENTER (C78),STEIN SENIOR CENTER INC,204 East 23rd Street,NEW YORK,NY,10010,MANHATTAN,646-395-8083,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.738655,-73.982755,106,02,64,1019664,1009030056,Gramercy,POINT (-73.982755 40.738655)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7001,UNION SETTLEMENT FRANKLIN PLAZA NORC (N70),UNION SETTLEMENT ASSOCIATION,2090 SECOND AVENUE,NEW YORK,NY,10029,MANHATTAN,646-676-1801,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.791585,-73.941726,111,08,170,1081081,1016780001,East Harlem South,POINT (-73.941726 40.791585)
OLDER ADULT CENTER CONTRACTS,C8309,JASA THROGGS NECK OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2705 Schley Avenue,BRONX,NY,10465,BRONX,718-823-1771,Y,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,00:00,00:00,00:00,00:00,40.821662,-73.827061,210,13,144,2080423,2055680050,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.827061 40.821662)
HOME DELIVERED MEAL SERVICE CONTRACTS,33B01,HENRY STREET HOME DELIVERED MEALS - MANHATTAN 1 (33B),HENRY STREET SETTLEMENT,265 Henry Street,NEW YORK,NY,10002,MANHATTAN,212-473-1474,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713857,-73.984532,103,01,202,1079627,1002880078,Lower East Side,POINT (-73.984532 40.713857)
OLDER ADULT CENTER CONTRACTS,W2202,JASA DREISER (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,975 Waring Avenue,BRONX,NY,10467,BRONX,718-320-1345,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.861211,-73.859709,211,13,324,2093415,2044440001,Bronxdale,POINT (-73.859709 40.861211)
OLDER ADULT CENTER CONTRACTS,W1906,PSS HARLEM (W19),PRESBYTERIAN SENIOR SERVICES,127 West 127th Street,NEW YORK,NY,10027,MANHATTAN,212-222-3132,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.809488,-73.945496,110,09,224,1057904,1019120012,Central Harlem North-Polo Grounds,POINT (-73.945496 40.809488)
HOME DELIVERED MEAL SERVICE CONTRACTS,33D01,STANLEY ISAACS HOME DELIVERED MEALS - MANHATTAN 3 (33D),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 East 93rd Street,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.780904,-73.945112,108,05,152,1082367,1015730001,Yorkville,POINT (-73.945112 40.780904)
OLDER ADULT CENTER CONTRACTS,C3601,GODDARD RIVERSIDE LSNC OAC @ WEST 65TH ST (C36),GODDARD-RIVERSIDE COMMUNITY CENTER,250 West 65th Street,NEW YORK,NY,10023,MANHATTAN,212-874-0860,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.77501,-73.98689,107,06,151,1030340,1011560020,Lincoln Square,POINT (-73.98689 40.77501)
HOME DELIVERED MEAL SERVICE CONTRACTS,11Y01,RAIN HOME DELIVERED MEALS - BRONX 2 (11Y),REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,BRONX,NY,10469,BRONX,718-829-2131,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.876304,-73.848594,212,12,364,2060739,2047370105,Eastchester-Edenwald-Baychester,POINT (-73.848594 40.876304)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5501,HENRY STREET VLADECK CARES NORC (N55),HENRY STREET SETTLEMENT,351 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-477-0455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.71334,-73.982772,103,02,202,1083404,1002670024,Lower East Side,POINT (-73.982772 40.71334)
HOME DELIVERED MEAL SERVICE CONTRACTS,33E01,CHARLES WALBURG HOME DELIVERED MEALS - MANHATTAN 4 (33E),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,163 West 125th Street 13th Floor,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.808644,-73.947524,110,09,222,1081602,1019100001,Central Harlem South,POINT (-73.947524 40.808644)
OLDER ADULT CENTER CONTRACTS,W1501,CENTER ON THE SQ (W15),GREENWICH HOUSE INC.,20 Washington Square North,NEW YORK,NY,10011,MANHATTAN,212-777-3555,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.731781,-73.997705,102,01,63,1008851,1005510008,West Village,POINT (-73.997705 40.731781)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5302,HAMILTON MADISON KNICKERBOCKER NORC (N53),HAMILTON MADISON HOUSE INC,36 MONROE STREET G1,NEW YORK,NY,10002,MANHATTAN,212-349-0616,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.711538,-73.99477,103,01,8,1077591,1002530001,Chinatown,POINT (-73.99477 40.711538)
ELDER ABUSE SERVICES CONTRACTS,62001,ELDER ABUSE MULTIDISCIPLINARY TEAMS SERV (620),WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,100 Church Street,NEW YORK,NY,10007,MANHATTAN,646-845-8202,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.712968,-74.00949,101,01,21,1001409,1001250020,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.00949 40.712968)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6701,HUDSON GUILD ELLIOTT-CHELSEA NORC (N67),HUDSON GUILD,441 W. 26TH STREET,NEW YORK,NY,10001,MANHATTAN,212-760-9800,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.749196,-74.001815,104,03,97,1012827,1007240010,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-74.001815 40.749196)
CAREGIVER SERVICES CONTRACTS,6K501,VISIONS/SERVICES FOR THE BLIND & VISUALLY IMPAIRED (6K5),VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,500 Greenwich Street,NEW YORK,NY,10013,MANHATTAN,212-625-1616,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.725564,-74.009178,102,03,53,1076084,1005957501,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.009178 40.725564)
OLDER ADULT CENTER CONTRACTS,C1902,CENTRAL HARLEM ST NICK (C19),CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,210 W. 131st Street New York NY 10027,NEW YORK,NY,10037,MANHATTAN,646-678-4451,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.812977,-73.94614,110,09,224,1081515,1019330050,Central Harlem North-Polo Grounds,POINT (-73.94614 40.812977)
OLDER ADULT CENTER CONTRACTS,C3303,FIND AID HAMILTON OAC (C33),FIND AID FOR THE AGED,141 W. 73rd Street & 111 W. 71st Street,NEW YORK,NY,10023,MANHATTAN,212-787-7710,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,09:00,05:00,40.778624,-73.979527,107,06,157,1030011,1011450012,Lincoln Square,POINT (-73.979527 40.778624)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7101,MASARYK TOWER NORC (N71),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,75 Columbia Street,NEW YORK,NY,10002,MANHATTAN,212-301-8995,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717567,-73.979986,103,02,2201,1082666,1003330001,Lower East Side,POINT (-73.979986 40.717567)
OLDER ADULT CENTER CONTRACTS,C3001,CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,150 East 121st Street,NEW YORK,NY,10035,MANHATTAN,212-722-2205,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.801704,-73.939037,111,08,196,1054378,1017690021,East Harlem North,POINT (-73.939037 40.801704)
OLDER ADULT CENTER CONTRACTS,C5809,RAIN NEREID OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,720 Nereid Avenue,BRONX,NY,10466,BRONX,718-994-0132,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.898158,-73.853568,212,11,434,2069882,2050460033,Woodlawn-Wakefield,POINT (-73.853568 40.898158)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5202,GODDARD RIVERSIDE WEST SIDE NORC (N52),GODDARD-RIVERSIDE COMMUNITY CENTER,593 COLUMBUS AVENUE,NEW YORK,NY,10024,MANHATTAN,212-665-3853,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.791173,-73.96874,107,06,177,1079516,1012070001,Upper West Side,POINT (-73.96874 40.791173)
OLDER ADULT CENTER CONTRACTS,W2403,JEFFERSON OAC (W24),UNION SETTLEMENT ASSOCIATION,2205 1st Avenue,NEW YORK,NY,10029,MANHATTAN,212-828-6104,Y,08:00,04:30,08:00,04:30,08:00,04:30,08:00,04:30,08:00,04:30,00:00,00:00,00:00,00:00,40.794319,-73.93665,111,08,180,1081091,1016840001,East Harlem North,POINT (-73.93665 40.794319)
OLDER ADULT CENTER CONTRACTS,C5804,RAIN EASTCHESTER LATIN SOUL CAFÉ OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,1246 Burke Avenue,BRONX,NY,10469,BRONX,718-882-8513,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.871144,-73.851046,211,12,348,2093500,2045810001,Allerton-Pelham Gardens,POINT (-73.851046 40.871144)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7201,VILLAGE VIEW NORC (N72),UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 ALLEN STREET,NEW YORK,NY,10002,MANHATTAN,212-453-0287,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.724528,-73.985461,103,02,32,1077559,1004320001,East Village,POINT (-73.985461 40.724528)
CASE MANAGEMENT SERVICES CONTRACTS,3M901,SELFHELP PROJECT CASE MANAGEMENT MN-2 (3M9),SELFHELP COMMUNITY SERVICES INC,520 EIGHTH AVENUE,NEW YORK,NY,10018,MANHATTAN,212-787-8106,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.753612,-73.992417,105,03,109,1083624,1007860001,Midtown-Midtown South,POINT (-73.992417 40.753612)
LEGAL SERVICES CONTRACTS,32V01,MOBILIZATION FOR JUSTICE (32V),MOBILIZATION FOR JUSTICE INC,100 William Street 6th Fl,NEW YORK,NY,10038,MANHATTAN,212-417-3700,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.708497,-74.007477,101,01,1502,1001116,1000680036,Battery Park City-Lower Manhattan,POINT (-74.007477 40.708497)
OLDER ADULT CENTER CONTRACTS,C0501,ARC XVI A. PHILIP RANDOLPH OAC (C05),ARC XVI FORT WASHINGTON INC,108 West 146 Street,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.821341,-73.936317,110,09,232,1060189,1020140036,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341)
OLDER ADULT CENTER CONTRACTS,W1502,OUR LADY OF POMPEII (W15),GREENWICH HOUSE INC.,25 Carmine Street,NEW YORK,NY,10014,MANHATTAN,212-989-3620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.730178,-74.002955,102,03,67,1009904,1005860020,West Village,POINT (-74.002955 40.730178)
OLDER ADULT CENTER CONTRACTS,C9403,YOUNG ISRAEL PROGRAMS QUEENS VALLEY II (C94),YOUNG ISRAEL PROGRAMS INC,141-55 77th Avenue,FLUSHING,NY,11367,QUEENS,718-263-6995,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.721128,-73.819822,408,24,77903,4143547,4066280084,Kew Gardens Hills,POINT (-73.819822 40.721128)
OLDER ADULT CENTER CONTRACTS,3TB01,WOODSIDE-OLDER ADULT CENTER (QNS 01) (3TB),SAMARITAN DAYTOP VILLAGE INC,50-37 Newtown Road Building 19,FLUSHING,NY,11377,QUEENS,718-206-2000,Y,,,,,,,,,,,,,,,40.753724,-73.911047,401,26,163,4430993,4007360002,Astoria,POINT (-73.911047 40.753724)
OLDER ADULT CENTER CONTRACTS,C5601,QCH FOREST HILLS OAC (C56),QUEENS COMMUNITY HOUSE INC.,108-25 62nd Drive,FLUSHING,NY,11375,QUEENS,718-699-1010,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.73591,-73.850212,406,29,745,4432108,4021590002,Forest Hills,POINT (-73.850212 40.73591)
OLDER ADULT CENTER CONTRACTS,C4705,JCCGCI MARIEN-HEIM OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,870 Ocean Parkway,BROOKLYN,NY,11230,BROOKLYN,718-438-7771,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.627218,-73.971057,312,44,46201,3170453,3065080006,Flatbush,POINT (-73.971057 40.627218)
OLDER ADULT CENTER CONTRACTS,C6101,RSS CENTER FOR AGELESS LIVING (C61),RIVERDALE SENIOR SERVICES INC,2600 Netherland Avenue,BRONX,NY,10463,BRONX,718-884-5900,Y,08:00,05:00,08:00,05:00,08:00,05:00,08:00,05:00,08:00,05:00,00:00,00:00,00:00,00:00,40.878744,-73.915679,208,11,29302,2083247,2057220475,Spuyten Duyvil-Kingsbridge,POINT (-73.915679 40.878744)
OLDER ADULT CENTER CONTRACTS,C2401,HAMILTON GRANGE NSC (C24),CONVENT AVENUE BAPTIST CHURCH,420 West 145th Street,NEW YORK,NY,10032,MANHATTAN,212-862-4181,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.824436,-73.945733,109,07,227,1060948,1020500042,Hamilton Heights,POINT (-73.945733 40.824436)
OLDER ADULT CENTER CONTRACTS,C1107,BRONXWORKS SOUNDVIEW (C11),BRONXWORKS INC,391 Bronx River Avenue,BRONX,NY,10473,BRONX,917-633-5951,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.814436,-73.866773,209,18,20,2127010,2035150040,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.866773 40.814436)
OLDER ADULT CENTER CONTRACTS,C5602,QCH KEW GARDENS COMMUNITY CENTER OAC (C56),QUEENS COMMUNITY HOUSE INC.,80-02 Kew Gardens Road,JAMAICA,NY,11415,QUEENS,718-268-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713686,-73.830505,409,29,773,4312089,4033480037,Kew Gardens,POINT (-73.830505 40.713686)
OLDER ADULT CENTER CONTRACTS,W2002,BREVOORT SENIOR CLUB (W20),RISEBORO COMMUNITY PARTNERSHIP INC,280 Ralph Avenue,BROOKLYN,NY,11233,BROOKLYN,347-318-3383,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.679794,-73.922153,303,41,381,3325173,3016880001,Crown Heights North,POINT (-73.922153 40.679794)
OLDER ADULT CENTER CONTRACTS,W2005,PALMETTO GARDENS SENIOR CLUB (W20),RISEBORO COMMUNITY PARTNERSHIP INC,85 Palmetto Street,BROOKLYN,NY,11221,BROOKLYN,718-676-0876,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.691599,-73.91884,304,34,399,3076429,3033400020,Bushwick South,POINT (-73.91884 40.691599)
OLDER ADULT CENTER CONTRACTS,CC201,JAMAICA OLDER ADULT CENTER (CC2),QUEENS COMMUNITY HOUSE INC.,89-60 164th Street,JAMAICA,NY,11432,QUEENS,718-592-5757,Y,,,,,,,,,,,,,,,40.707053,-73.796924,412,24,44601,4209585,4097930086,Jamaica,POINT (-73.796924 40.707053)
OLDER ADULT CENTER CONTRACTS,C8201,HUDSON GUILD (C82),HUDSON GUILD,119 West 19th Street,NEW YORK,NY,10011,MANHATTAN,212-924-6710,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.740784,-73.995381,104,03,87,1014730,1007950028,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.995381 40.740784)
OLDER ADULT CENTER CONTRACTS,C9101,CENTER AT THE RED OAK (C91),WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC,135 West 106 Street,NEW YORK,NY,10025,MANHATTAN,917-544-1892,Y,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,00:00,00:00,00:00,00:00,40.799919,-73.964459,107,07,193,1055957,1018610010,Morningside Heights,POINT (-73.964459 40.799919)
OLDER ADULT CENTER CONTRACTS,C4902,KOREAN COMMUNITY SERVICES FLUSHING + SATELLITE MN9 (C49),KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,42-15 166th Street Queens NY 11358 (Sa,FLUSHING,NY,11358,QUEENS,718-886-8203,Y,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,00:00,00:00,00:00,00:00,40.75939,-73.800335,407,19,1185,4439629,4053970006,East Flushing,POINT (-73.800335 40.75939)
OLDER ADULT CENTER CONTRACTS,C8102,EDUCATIONAL ALLIANCE WEINBERG OAC (C81),THE EDUCATIONAL ALLIANCE INC,197 East Broadway,NEW YORK,NY,10002,MANHATTAN,646-395-4270,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.714219,-73.988219,103,01,6,1003704,1002850029,Lower East Side,POINT (-73.988219 40.714219)
OLDER ADULT CENTER CONTRACTS,C3512,REMSEN SARITA JEAN OAC (C35),FORT GREENE COUNCIL,3304 Clarendon Road,BROOKLYN,NY,11210,BROOKLYN,347-200-4081,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.643428,-73.945697,317,45,830,3111409,3049500001,East Flatbush-Farragut,POINT (-73.945697 40.643428)
OLDER ADULT CENTER CONTRACTS,4BC01,SNAP EASTERN QUEENS OAC (ISC) (4BC),SERVICES NOW FOR ADULT PERSONS INC,80-45 Winchester Blvd.,JAMAICA,NY,11427,QUEENS,718-454-2100,Y,,,,,,,,,,,,,,,40.737685,-73.734021,413,23,1567,4537294,4078800400,Bellerose,POINT (-73.734021 40.737685)
OLDER ADULT CENTER CONTRACTS,C3301,FIND AID CLINTON OAC (C33),FIND AID FOR THE AGED,530 West 55th Street,NEW YORK,NY,10019,MANHATTAN,212-757-2026,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.768258,-73.990588,104,06,135,1027059,1010830015,Clinton,POINT (-73.990588 40.768258)
OLDER ADULT CENTER CONTRACTS,C8306,JASA SCHEUER CONEY ISLAND OAC (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,3601 Surf Ave Brooklyn NY 11224,BROOKLYN,NY,11224,BROOKLYN,718-373-3954,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.573144,-74.001587,313,47,342,3321762,3070450031,Seagate-Coney Island,POINT (-74.001587 40.573144)
OLDER ADULT CENTER CONTRACTS,C7210,RAICES ASTORIA SOCIAL CLUB (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,4-05 Astoria Blvd,LONG ISLAND CITY,NY,11102,QUEENS,718-762-9642,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.772947,-73.933467,401,22,87,4430787,4004900101,Old Astoria,POINT (-73.933467 40.772947)
OLDER ADULT CENTER CONTRACTS,W2103,SELFHELP CLEARVIEW (W21),SELFHELP COMMUNITY SERVICES INC,208-11 26th Avenue,FLUSHING,NY,11360,QUEENS,718-224-7888,Y,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,08:30,04:00,00:00,00:00,00:00,00:00,40.776381,-73.783798,407,19,99704,4130866,4058630250,Ft. Totten-Bay Terrace-Clearview,POINT (-73.783798 40.776381)
OLDER ADULT CENTER CONTRACTS,C4102,GOOD COMPANIONS (C41),HENRY STREET SETTLEMENT,334 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-349-2770,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713266,-73.983237,103,02,202,1077526,1002600001,Lower East Side,POINT (-73.983237 40.713266)
OLDER ADULT CENTER CONTRACTS,C4702,JCCGCI HABER HOUSE OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3024 West 24th Street,BROOKLYN,NY,11224,BROOKLYN,718-372-5775,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,07:30,02:30,00:00,00:00,00:00,00:00,40.573171,-73.990645,313,47,352,3322050,3070700001,Seagate-Coney Island,POINT (-73.990645 40.573171)
OLDER ADULT CENTER CONTRACTS,C5001,MBSCC CONCOURSE PLAZA WELLNESS CENTER FOR OLDER ADULTS (C50),MID BRONX SENIOR CITIZENS COUNCIL INC,900 Grand Concourse,BRONX,NY,10451,BRONX,718-588-8200,Y,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,00:00,00:00,00:00,00:00,40.827412,-73.922277,204,16,18301,2002802,2024600001,East Concourse-Concourse Village,POINT (-73.922277 40.827412)
OLDER ADULT CENTER CONTRACTS,C8402,LEON OAC (C84),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,735 East 152nd Street,BRONX,NY,10455,BRONX,718-708-6897,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.815994,-73.907843,201,17,79,2091979,2026540002,Melrose South-Mott Haven North,POINT (-73.907843 40.815994)
OLDER ADULT CENTER CONTRACTS,C5201,NORTHEAST BRONX (C52),NORTHEAST BRONX SENIOR CITIZENS INC,2968 Bruckner Blvd,BRONX,NY,10465,BRONX,718-892-6090,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.833889,-73.826264,210,13,164,2097558,2054200002,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.826264 40.833889)
OLDER ADULT CENTER CONTRACTS,C1601,CARTER BURDEN LUNCHEON CLUB & SOCIAL SERVICE UNIT (C16),CARTER BURDEN NETWORK INC.,351 East 74th Street,NEW YORK,NY,10021,MANHATTAN,646-937-3520,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.76962,-73.956197,108,05,134,1044930,1014490020,Lenox Hill-Roosevelt Island,POINT (-73.956197 40.76962)
HOME DELIVERED MEAL SERVICE CONTRACTS,4R301,P.S. I.S. 210 (4R3),New York African Chorus Ensemble Inc,501-503 W.152nd Street,NEW YORK,NY,10031,MANHATTAN,646-345-4658,Y,,,,,,,,,,,,,,,40.829815,-73.94475,109,07,237,1087824,1020840129,Hamilton Heights,POINT (-73.94475 40.829815)
